username,location
ChinainVan,Vancouver BC Canada
ChinaIraq,Baghdad
Chinamission2un,"New York, NY"
ChinaMissionGva,"Geneva, Switzerland"
chinaorgcn,"Beijing, China"
ChinaPlusPods,N/A
ChinaScience,"Beijing, China"
chinascio,Beijing
ChinaSpox_India,Chinese Embassy in India
chinatoday_com,Canada
ChinaYouthOL,
Chine_au_Mali,Mali
chine_guinee,Guinea
ChineAmbassade,达喀尔 Dakar
ChineAmbDjibout,Djibouti
ChineAmbMaroc,"16,Avenue Ahmed Balafrej,Rabat"
ChineseAmb_GM,"Banjul, The Gambia"
ChineseCGMumbai,
ChineseCon_Mel,"Melbourne, Victoria, Australia"
ChineseEmb_FJ,"Suva, Fiji"
ChineseEmb_PNG,Papua New Guinea
ChineseEmb_Uga,"Plot 37, Malcolm X Avenue, Kol"
chineseembassy1,
ChineseembassyJ,"No.9 Jakarta Street, D.Rabyeh "
ChineseEmbinHU,"Budapest, Hungary"
ChineseEmbinMNE,chinaemb_me@hotmail.com
ChineseEmbinRus,Moscow
ChineseEmbinUK,
ChineseEmbinUS,"Washington, DC"
ChineseEmbKenya,"Woodlands Road, Nairobi, Kenya"
ChineseEmbtoYEM,Riyadh Saudi Arabia
ChineseEmbTZ,Dar es Salaam
ChineseEstonia,
ChineseLiberia,"Oldest Congo Town, Monrovia"
ChineseSomalia,"Mogadishu, Somalia"
ChineseZimbabwe,"Harare, Zimbabwe"
chloezhou21,Beijing
CHN_EGY,"Cairo, Egypt"
ChnConsul_osaka,大阪府大阪市西区靱本町3-9-2
ChnConsulateFuk,福岡市中央区地行浜1-3-3
ChnConsulateJhb,"25 Cleverland Rd, Sandton,Jhb"
ChnConsulateNag,
ChnConsulateNgo,
ChnConsulateNgt,"Niigata-shi Chuo-ku, Niigata"
ChnEmbassy_jp,Japan
CHNembinSudan,"Khartoum, Sudan"
CHNEmbSuriname,"Paramaribo, Suriname"
ChnMission,Geneva
cidcaofficial,Beijing
cinitalia,
cjxwh_hbtv,
closertochina,Beijing
CNContentCenter,Shanghai
CNS1952,
CoChwila,
CocoStudio4,
consulat_de,35 Rue Bautain 67000Strasbourg
ConsulateSan,
ConsulChinaBcn,"Av. Tibidabo, 34, Barcelona"
ConsulChinaRJ,"Rio de Janeiro, RJ, Brasil"
cri_hindi,Beijing
CRI_Turkish,N/A
criarabic,
CRIbrk,Anywhere
CriFrancais,"北京, 中华人民共和国"
CRIGerman1,"Beijing, China"
crigreek,"Beijing, PRC"
CRIHausaRadio,"Shijingshan Rd Beijing, China"
CRIjpn,中国北京市石景山甲16号
cripashto,
CRIsinhala,Beijing China
criurdu,
CSCECNEWS,Global
Danni_Zhu131,"Beijing, China "
delkhiintsag,N/A
dier0806,N/A
DingHeng6,
DIOC_MFA_China,"Beijing, China"
discoverbinhai,
DiscoverGuangxi,Guangxi
DiscoverJilin,"Jilin, China"
DiscoverNanjing,"Nanjing,China"
discoverzj,
Dongning,Beijing
DostiFM98,
dotdotnews111,
Dr_ZhaoQinghua,N/A
dragontv,上海
DrZhaoYanbo,N/A
DrZhaoyongchen,Beijing
dupingCHN,"beijing,China"
DXinjiang,
Echinanews,Beijing
EconomicMalawi,lilongwe
EDNewsChina,Beijing
EmbaixadaChina,"Brasília, Brasil"
EmbajadaChinaEc,Quito
EmbajadaChinaSV,San Salvador
embajadorcn_uy,Montevideo
embassy_chinese,Tonga
EmbChina_RS,"Užička 25, Beograd 11000"
EmbChinaCuba,Cuba
EmbChinaGE,赤道几内亚 Guinea Ecuatorial
EmbChinaMex,AV.RIO MAGDALENA 172
EmbChinaPa,
EmbChinaVen,Venezuela
EmbQiMei,"Vienna, Austria"
EmbZhangRun,"Distrito Federal, México"
eugenioT14,N/A
evawcheng,"Beijing via Missouri, D.C., BC"
ExploreGansu,"Gansu province, China"
FangYi85320692,"Kampala, Uganda"
fayhaaChina,Beijing
feelchina2021,
flyoverchina,"Beijing, China"
Frontlinestory,N/A
FuCong17,"Brussels, Belgium"
FukLyuGuijun,
FullFrameCGTN,N/A
FuzhouCity,"Fuzhou, China"
gabriekestabem,"São Paulo,Brasil Pequim, China"
gabrielyin,brasil
GeneralkonsulDu,N/A
GladysGuo,
GlobalTimesBiz,Beijing China 
GlobalTimesLife,Beijing
globaltimesnews,"Beijing, China"
GlobalWatchCGTN,
GoJiangsu,"West Beijing Road, NANJING"
GtOpinion,"北京, 中华人民共和国"
GuanchaNewMedia,
Guangming_Daily,"Beijing, China"
GuanXinTweets,N/A
Guilin__China,
guyanmuchan001,
Gwadar_Pro,"Gwadar, Pakistan"
gz1988,Beijing
haiwainet,"Beijing, China"
haiwaiwangUS,"Los Angeles, CA"
Hakimyu2,Alger                         
Henan_TV,"California, USA"
HeRulong,Iceland
heweiwei_,中华人民共和国
Hongchencuxian,
hongfenghuang,
HongtieZhang,
HU_Bin_CHN,São Tomé and Príncipe
huang_jiyuan,China
Huanqiu_com,
huanxinzhao,"Washington, DC"
hui48298914,"Jakarta, Indonesia"
HunanTimes,"Changsha, Hunan, China"
HuXijin_GT,China
iChangzhou,"Changzhou, China"
iChongqing_CIMC,Chongqing
idiscoverchina,
iloveguizhou,
in_embassy,
IN_Studio2020,
InQingdao,"Shandong, China"
InsightNingbo,People's Republic of China
ipandacom,
IXiangshan,"Xiangshan,China"
izhejiang,"Zhejiang, China"
jejuZLG,제주시청사로1길10
JessicaZ1018,"Beijing, People's Republic of China"
JiangJiang43,Beijing
JianhuaLi4,"London, England"
JilinChina,"Jilin, China"
JingFeng22,
Jingjing_Li,"Beijing, China"
jtao98,
juliojiangwei,Panama
katekuibeijing,Beijing
KatieMi17,Beijing
kimnaying,china
kooricuc,"北京, 中华人民共和国"
KunkunkunLiu,Beijing
learnchineese,Globally
lena90830,Beijing
Leona_BJ,"Beijing,China"
Li_Baorong,"Caracas, Venezuela"
li_xiaosi,
Li_Yang_China,
libijian2,
Lin_Nan1,
lingzhi_van,
LinHao_BKK,Bangkok
liuboleo2,
LiuChan14790671,
LiuHongyang4,Malawi
liupheonix,
LiuXin_Emily,
LiuXininBeijing,Details
LiuYanCHN,"The Hague, The Netherlands"
LiuYutongpost,
LiyingZHU1,
lovejiaxing,
luisxu9,"San Jose, Costa Rica"
luowill1978,People's Republic of China
LYNNJie3,
machinpl,
MahuiChina,"Havana,Cuba"
MAKSIMYQY,"Saint Petersburg, Russia"
MarthayTao,"Beijing, China"
martinaglobal,"London, United Kingdom"
MediaUnlock,
MelodyZ77141898,
MFA_China,中国，北京 Beijing PRC
MiaoXiaojuan,Beijing
mingalanews,
MingjieReporter,"London, England"
MissWow66,beijjng China
MMMKKK56665147,
mmMonicaZhang,Beijing 
ModernExpressEN,"Nanjing, China"
MOFCOM_China,
mundo_china,"São Paulo, Brasil"
muyi_dima,Beijing
ooeieiwyy,N/A
oujianhong,
panda_paws,
PandaoramaLink,"Washington, DC"
PatrickZhengCHN,Beijing
pd_northamerica,Washington DC
PDChina,"Beijing, China"
PDChinaBusiness,"Beijing, China"
PDChinaHK,
PDChinaLife,"Beijing, China"
PDChinaSports,
PDChinese,中國  北京
PDOAUS,"8 Clarke Street, Crows Nest"
peijin_zhang,Beijing
PenicilinPan,
PeoplesDailyapp,Beijing
PhoenixTV_News,Hong Kong
PRC_Amb_Uganda,"Kampala, Uganda"
PRCAmbNepal,Nepal
PRCAmbNL,"The Hague, The Netherlands"
prcembassyprg,"Pelléova 1116/18a, Prague"
PRCSpoxNepal,Kathmandu
promisingzhuang,巴西圣保罗 São Paulo
qianwen_gu,China
qingqingparis,Beijing
QiushiJournal,"Beijing, China"
QuanQuan_1231,Alger                         
RadioEjani,Beijing
realGuancha,上海shanghai
RenKeNews,"Beijing, China"
reporterCHN,"Beijing,China"
RibiaoChen,"Jung-gu, Republic of Korea"
RitaBai,"北京, 中华人民共和国"
Sabrina_Zhao,Beijing
salahzhang,"Zanzibar, Tanzania"
SanyaofChina,"Sanya, Hainan, China"
SceneryofChina,"Huixin Dongjie, Beijing, China"
ShaanxiMoments,"Shaanxi, China"
Shalevetyah,Israel
shanghaidaily,Shanghai
ShanghaiEye,
Shanhui_Jacky,Beijing
ShannonZ666,Beijing
shao_zheng,China
ShaoxingCity,"Shaoxing, Zhejiang, China"
shen_shiwei,"Beijing, China "
shenqihaodianzi,"北京, 中华人民共和国"
SichuanDaily,"Chengdu, Sichuan, China"
SixthTone,Shanghai
SMGKankanews,"Shanghai, China"
Spacewenchang,
SpokespersonCHN,中国，北京 Beijing PRC
SpokespersonHZM,Beijing
SpoxCHNinUS,Washington D.C.
stuartyueh,Beijing
suadye,بكين، الصين
sun_weide,
SuYuting8,Beijing
SuzhouWuzhong,"Wuzhong district, Suzhou"
SWAHILICRI,
SXiaochuan258,
TakungNews,Hong Kong
takungwenwei_hk,香港
theChinaMosaic,
thelinkoncgtn,
thepapercn,"Shanghai, China"
thepoint_CGTN,Beijing
theserenadong,N/A
thisisGBA,N/A
thouse_opinions,N/A
tianranhe,N/A
tianwei,N/A
TibetTodayCN,N/A
TideNewsZJ,N/A
Todayreview_hk,N/A
Tong_Shuo,N/A
TongMediaHK,N/A
UnTeresa,N/A
VicaLi18,N/A
visitchongqing,N/A
VisitSanya,N/A
VisitShandong,N/A
VisitSuzhou,N/A
WANG_XUE_JING,N/A
WangGuanBeijing,N/A
WangJialei4,N/A
WangJianPaco,N/A
wangxh65,N/A
WangXianfeng8,N/A
WanmingYang,N/A
WaveMedia2022,N/A
weiasecas,N/A
WeiHongtian,N/A
WenwenWang1127,N/A
Where_Zhengzhou,N/A
WorldInsight_TW,N/A
WQHChina,N/A
wty510,N/A
WuGang_CX,N/A
wuji_li,N/A
wulei2020,N/A
WuPeng_MFAChina,N/A
WuxiCity,N/A
xgx91,N/A
XHChineNouvelle,N/A
XHJapanese,N/A
XHNews,N/A
XHNorthAmerica,N/A
XHscitech,N/A
XHSports,N/A
XIEYongjun_CHN,N/A
xinhua_africa,N/A
XinhuaChinese,N/A
XinhuaMyanmar,N/A
XinhuanetNews,N/A
xinhuasylvia,N/A
xinhuatravel,N/A
xinjiangchannel,N/A
xinranz98,N/A
XisMoments,N/A
xuejianosaka,N/A
XuLi52940770,N/A
XuZeyu_Philip,N/A
amysaina,N/A
yang_zhiyu1979,N/A
yangliuxh,N/A
yangrui88,N/A
YangZha42341102,N/A
YaoFei9,N/A
yawenxu17,N/A
YayingRUAN,N/A
YDunhai,N/A
yicaichina,N/A
yicaiglobalCN,N/A
YichuSong,N/A
YidingYang_MFA,N/A
Yikangmama,N/A
yiwen_zh,N/A
YoloOliver1,N/A
Yuanjia33107056,N/A
Yunfei_Zh,N/A
yuqiaoji,N/A
YXiusheng,N/A
YZOUTWEETS,N/A
ZhaLiyou,N/A
zhang_heqing,N/A
Zhang_Xi77,N/A
zhangbuxin,N/A
zhanhao668,N/A
zhaobaogang2011,N/A
ZhaoYing_CRI,N/A
ZhengguanNews,N/A
ZhengJunfeng1,N/A
ZhifeiShen,N/A
ZhongBai2020,N/A
ZhongShi_CGTN,N/A
Zhou_Li_CHN,N/A
zhu_jingyang,N/A
ZichenWanghere,N/A
ziyi_zeng,N/A
zlj517,N/A
ZoomIn_CGTN,N/A
ZShilei,N/A
ZShilei,
